Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
RPTR-Sc-AF298789-1_s_at	AFFX-Sc-AF298789-1	IPR001240	RPTR-Sc-AF298789-1_s_at			GO:0004640	AAG17697	S0002414		
RPTR-Sc-J01347-1_at	AFFX-Sc-J01347-1		RPTR-Sc-J01347-1_at							
RPTR-Sc-J01347-1_s_at	AFFX-Sc-J01347-1		RPTR-Sc-J01347-1_s_at							
RPTR-Sc-J01347-2_at	AFFX-Sc-J01347-2		RPTR-Sc-J01347-2_at							
RPTR-Sc-J01347-3_at	AFFX-Sc-J01347-3		RPTR-Sc-J01347-3_at							
RPTR-Sc-J01347-4_at	AFFX-Sc-J01347-4		RPTR-Sc-J01347-4_at							
RPTR-Sc-U46493-1_s_at	AFFX-Sc-U46493-1		RPTR-Sc-U46493-1_s_at							
RPTR-Sc-U57609-2_s_at	AFFX-Sc-U57609-2		RPTR-Sc-U57609-2_s_at							
RPTR-Sc-AB076373-1_at	AFFX-Sc-AB076373-1		RPTR-Sc-AB076373-1_at							
RPTR-Sc-AF323980-1_at	AFFX-Sc-AF323980-1		RPTR-Sc-AF323980-1_at							
RPTR-Sc-AF292559-1_at	AFFX-Sc-AF292559-1		RPTR-Sc-AF292559-1_at							
RPTR-Sc-AF292559-2_s_at	AFFX-Sc-AF292559-2		RPTR-Sc-AF292559-2_s_at							
RPTR-Sc-AF292559-3_s_at	AFFX-Sc-AF292559-3		RPTR-Sc-AF292559-3_s_at							
RPTR-Sc-AF292559-4_s_at	AFFX-Sc-AF292559-4		RPTR-Sc-AF292559-4_s_at							
RPTR-Sc-AF292560-1_s_at	AFFX-Sc-AF292560-1		RPTR-Sc-AF292560-1_s_at							
RPTR-Sc-U89963-1_at	AFFX-Sc-U89963-1		RPTR-Sc-U89963-1_at							
RPTR-Sc-U89963-1_s_at	AFFX-Sc-U89963-1		RPTR-Sc-U89963-1_s_at							
RPTR-Sc-U55943-1_at	AFFX-Sc-U55943-1		RPTR-Sc-U55943-1_at							
RPTR-Sc-M57289-1_s_at	AFFX-Sc-M57289-1		RPTR-Sc-M57289-1_s_at							
1773641_x_at	YAL068C.S1		1773641_x_at							
1771192_at	YAL067W-A.S1		1771192_at							
1769997_at	YAL067C.S1		1769997_at			GO:0006810	EAK92569	S0000062		
1775769_at	YAL065C.S1		1775769_at				BAA19915.1	S0001817		
1771550_at	YAL064W-B.S1		1771550_at				NP_009336	S0002141		
1772356_at	YAL064C-A.S1	IPR009549	1772356_at				NP_012081	S0002140		
1772528_at	YAL064W.S1		1772528_at				NP_009337	S0000060		
1776321_at	YAL063C-A.S1		1776321_at				NP_878039	S0028813		
1779679_s_at	YAL063C.S1	IPR001389	1779679_s_at			GO:0009277	NP_009338	S0001254		
1772549_at	YAL062W.S1	IPR006096	1772549_at			GO:0005625	NP_009339	S0000058		
1776156_at	YAL061W.S1	IPR002085	1776156_at			GO:0005634	EAK94474	S0000057		
1777350_at	YAL060W.S1	IPR002085	1777350_at			GO:0005737	EAK94474	S0000056		
1779249_at	YAL059W.S1		1779249_at			GO:0007047	EAK98127	S0000055		
1771966_at	YAL058W.S1	IPR001580	1771966_at			GO:0030433	EAK98046	S0000054		
1777146_at	YAL056W.S1		1777146_at			GO:0005739	NP_984509	S0000052		
1778295_at	YAL055W.S1		1778295_at			GO:0005777	NP_009346	S0000051		
1772915_at	YAL054C.S1	IPR000873	1772915_at		(Q9NUB1) Acetyl-coenzyme A synthetase 2-like, mitochondrial precursor (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2)	GO:0005829	NP_009347	S0000050		
1771724_at	YAL053W.S1	IPR010308	1771724_at			GO:0005737	EAK91166	S0000049		
1776233_at	YAL051W.S1	IPR001138	1776233_at			GO:0016563	NP_984498	S0000048		
1775869_at	YAL049C.S1	IPR002925	1775869_at			GO:0005737	EAL03947	S0000047		
1776590_at	YAL048C.S1	IPR002048	1776590_at			GO:0003924	NP_009351	S0000046		
1778536_at	YAL047C.S1		1778536_at	a.1.1.Globins		GO:0030473	T18372	S0000045		
1775727_at	YAL046C.S1	IPR002634	1775727_at				EAL02087	S0000044		
1777171_at	YAL044W-A.S1	IPR002634	1777171_at				EAL03453	S0007586		
1770632_at	YAL044C.S1	IPR002930	1770632_at			GO:0006730	EAL03443	S0000042		
1777795_at	YAL043C.S1		1777795_at			GO:0030847	EAL01488	S0000041		
1770706_at	YAL042W.S1		1770706_at			GO:0030176	EAK95089	S0000040		
1779111_at	YAL041W.S1	IPR000270	1779111_at			GO:0005937	EAK95677	S0000039		
1776614_at	YAL040C.S1	IPR006671	1776614_at			GO:0005634	EAK96649	S0000038		
1779425_at	YAL039C.S1	IPR000511	1779425_at			GO:0005758	EAK96705	S0000037		
1770962_at	YAL038W.S1	IPR001697	1770962_at			GO:0004743	NP_009362	S0000036		
1771291_at	YAL037C-A.S1		1771291_at				NP_878040	S0028732		
1776764_at	YAL037W.S1		1776764_at				NP_009363	S0000035		
1773564_at	YAL036C.S1	IPR004095	1773564_at			GO:0005737	XP_322475	S0000034		
1771464_at	YAL035W.S1	IPR004161	1771464_at			GO:0005843	NP_009365	S0000033		
1777576_at	YAL034W-A.S1	IPR008685	1777576_at			GO:0000922	EAK95486	S0000032		
1769551_at	YAL034C.S1	IPR007526	1769551_at				NP_014983	S0002134		
1778045_at	YAL033W.S1	IPR002759	1778045_at			GO:0004526	EAL01114	S0000031		
1776134_at	YAL032C.S1	IPR004015	1776134_at			GO:0045944	NP_984457	S0000030		
1772410_at	YAL031C.S1		1772410_at			GO:0005737	NP_009371	S0000029		
1777102_at	YAL030W.S1	IPR001388	1777102_at			GO:0005485	NP_014972	S0000028		
1771871_at	YAL029C.S1	IPR002710	1771871_at			GO:0000146	NP_009373	S0000027		
1772848_at	YAL028W.S1		1772848_at			GO:0006950	NP_014969	S0000026		
1773204_at	YAL027W.S1		1773204_at			GO:0005634	NP_009375	S0000025		
1772226_at	YAL026C.S1		1772226_at		(Q9Y2Q0) Potential phospholipid-transporting ATPase IA (EC 3.6.3.1) (Chromaffin granule ATPase II) (ATPase class I type 8A member 1)	GO:0030140	NP_009376	S0000024		
1779169_at	YAL025C.S1	IPR006958	1779169_at			GO:0005730	EAK92264	S0000023		
1779398_at	YAL024C.S1	IPR001895	1779398_at			GO:0005933	NP_009378	S0000022		
1772412_at	YAL023C.S1	IPR003608	1772412_at			GO:0005783	NP_009379	S0000021		
1774289_at	YAL022C.S1	IPR002259	1774289_at			GO:0005622	NP_983691	S0000020		
1778488_at	YAL021C.S1	IPR005135	1778488_at			GO:0000175	EAK98599	S0000019		
1774643_at	YAL020C.S1		1774643_at			GO:0007117	EAK97153	S0000018		
1779662_at	YAL019W.S1	IPR001650	1779662_at			GO:0005739	EAK91891	S0000017		
1780106_at	YAL018C.S1		1780106_at				NP_009384	S0000016		
1770818_at	YAL017W.S1	IPR000719	1770818_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0004674	S33653	S0000015	2.2.11	
1772308_at	YAL016C-B.S1		1772308_at				NP_878041	S0028528		
1779247_at	YAL016W.S1	IPR000357	1779247_at			GO:0005937	AAA35163	S0000014		
1772386_at	YAL015C.S1	IPR000445	1772386_at			GO:0005634	NP_983680	S0000013		
1776338_at	YAL014C.S1	IPR000727	1776338_at			GO:0005484	NP_983677	S0000012		
1769422_at	YAL013W.S1		1769422_at			GO:0006357	S36721	S0000011		
1773888_at	YAL012W.S1	IPR000277	1773888_at			GO:0006534	EAK97156	S0000010		
1770435_at	YAL011W.S1		1770435_at			GO:0000812	EAK91379	S0000009		
1770898_at	YAL010C.S1		1770898_at			GO:0005741	EAK91375	S0000008		
1779988_at	YAL009W.S1	IPR005605	1779988_at			GO:0042175	EAK93645	S0000007		
1775227_at	YAL008W.S1	IPR007014	1775227_at			GO:0005739	NP_009394	S0000006		
1771788_at	YAL007C.S1	IPR000348	1771788_at			GO:0006888	NP_984122	S0000005		
1771860_at	YAL005C.S1	IPR001023	1771860_at			GO:0005737	NP_009396	S0000004		
1769785_at	YAL003W.S1	IPR001326	1769785_at			GO:0005853	P78590	S0000003		
1772089_at	YAL002W.S1		1772089_at			GO:0005624	EAK98708	S0000002		
1770854_at	YAL001C.S1	IPR007309	1770854_at			GO:0005739	BAB16830.1	S0000001		
1769591_at	YAR002W.S1		1769591_at			GO:0005643	EAK96534	S0000063		
1771566_at	YAR002C-A.S1	IPR000348	1771566_at			GO:0030138	NP_985543	S0002129		
1778119_at	YAR003W.S1	IPR001680	1778119_at			GO:0016571	EAK98709	S0000064		
1773412_at	YAR007C.S1	IPR004365	1773412_at			GO:0003697	EAL00659	S0000065		
1771711_at	YAR008W.S1		1771711_at			GO:0005741	NP_596163	S0000066		
1779165_s_at	YAR009C.S1		1779165_s_at							
1775180_s_at	YAR010C.S1	IPR001584	1775180_s_at	a.2.3.Chaperone J-domain		GO:0005515	NP_012086	S0003534		
1770622_at	YAR014C.S1	IPR001452	1770622_at			GO:0005935	EAK95937	S0000069		
1774134_at	YAR015W.S1	IPR001636	1774134_at			GO:0006164	P50124	S0000070		
1776525_at	YAR018C.S1	IPR000719	1776525_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0007059	EAK98072	S0000071	2.1.5	
1780029_at	YAR019C.S1	IPR000719	1780029_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005935	EAK95864	S0000072	2.1.17	
1772576_x_at	YAR020C.S1		1772576_x_at							
1779844_at	YAR023C.S1	IPR001142	1779844_at				NP_009933	S0000074		
1771519_at	YAR027W.S1	IPR001142	1771519_at			GO:0005635	CAE52442	S0000075		
1774900_at	YAR028W.S1	IPR001142	1774900_at				CAE52442	S0000076		
1778729_at	YAR029W.S1	IPR001142	1778729_at			GO:0005737	CAE52441	S0000077		
1771533_at	YAR031W.S1	IPR001142	1771533_at			GO:0005886	CAE52454	S0000078		
1774167_at	YAR033W.S1		1774167_at							
1769485_s_at	YAR033W.S1	IPR001142	1769485_s_at			GO:0016021	CAE52435	S0003019		
1778223_at	YAR035W.S1	IPR000542	1778223_at			GO:0005739	AAC82487	S0000080		
1771503_at	YAR035C-A.S1		1771503_at					S0028595		
1776863_at	YAR042W.S1	IPR000648	1776863_at	a.2.7.Seryl-tRNA synthetase (SerRS)		GO:0005783	S47536	S0000081		
1778830_at	YAR050W.S1	IPR001389	1778830_at			GO:0009277	S51959	S0000084		
1774946_s_at	YAR064W.S1		1774946_s_at				NP_009429	S0028652		
1772534_s_at	YAR066W.S1		1772534_s_at				NP_012097	S0001257		
1777445_at	YAR068W.S1		1777445_at				NP_009431	S0000091		
1777286_s_at	YAR071W.S1	IPR000560	1777286_s_at			GO:0003993	AAA73479	S0001258		
1778878_s_at	YAR073W.S1	IPR001093	1778878_s_at			GO:0006183	NP_013656	S0001259		
1777712_at	YAR075W.S1		1777712_at							
1779889_s_at	YAR075W.S1	IPR000644	1779889_s_at			GO:0005737	NP_013536	S0004424		
1778754_s_at	YBL113C.S1	IPR001650	1778754_s_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005739	NP_014060	S0006204		
1774766_s_at	YBL112C.S1	IPR001650	1774766_s_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005634	NP_014060	S0006204		
1772737_s_at	YBL111C.S1	IPR001650	1772737_s_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0003678	NP_014060	S0006204		
1770140_x_at	YBL108C-A.S1		1770140_x_at							
1773180_at	YBL107C.S1		1773180_at			GO:0005737	NP_983591	S0000203		
1777774_at	YBL106C.S1		1777774_at			GO:0005886	NP_009444	S0000202	2.1.4	
1771954_at	YBL105C.S1	IPR000961	1771954_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)		AAA34878		1.2.13	
1777762_at	YBL104C.S1		1777762_at			GO:0005737	NP_009446	S0000200		
1778744_at	YBL103C.S1	IPR001092	1778744_at			GO:0005737	NP_984163	S0000199		
1773760_at	YBL102W.S1		1773760_at			GO:0000139	EAK94848	S0000198		
1772005_at	YBL101C.S1		1772005_at			GO:0005737	NP_984161	S0000197		
1776544_at	YBL101W-C.S1		1776544_at				NP_878043	S0028598		
1772138_s_at	YBL101W-B.S1	IPR001584	1772138_s_at	a.4.5.MarR-like transcriptional regulators		GO:0000943	S69973	S0007380		
1771791_s_at	YBL101W-A.S1	IPR001584	1771791_s_at	a.4.5.MarR-like transcriptional regulators		GO:0000943	S69973	S0007380		
1776352_at	YBL099W.S1	IPR000793	1776352_at	a.139.1.Type I dockerin domain		GO:0005754	NP_009453	S0000195		
1775992_at	YBL098W.S1	IPR000733	1775992_at			GO:0004502	EAK98764	S0000194		
1772894_at	YBL097W.S1		1772894_at			GO:0007076	EAK97508	S0000193		
1770134_at	YBL095W.S1		1770134_at			GO:0005739	NP_009457	S0000191		
1776560_at	YBL093C.S1		1776560_at			GO:0000119	NP_986387	S0000189		
1779982_at	YBL092W.S1	IPR001515	1779982_at			GO:0005842	O94008	S0000188		
1774060_at	YBL091C-A.S1	IPR000535	1774060_at			GO:0006348	NP_986385	S0007228		
1777028_at	YBL091C.S1	IPR000994	1777028_at			GO:0005737	NP_595906	S0000187		
1770207_at	YBL090W.S1		1770207_at			GO:0005763	NP_986383	S0000186		
1769795_at	YBL089W.S1	IPR002422	1769795_at			GO:0006810	NP_986382	S0000185		
1773314_at	YBL088C.S1	IPR003152	1773314_at	a.1.1.Globins		GO:0005634	EAL00247	S0000184		
1777227_at	YBL087C.S1		1777227_at							
1778374_at	YBL086C.S1		1778374_at				NP_986376	S0000182		
1778850_at	YBL085W.S1	IPR001849	1778850_at			GO:0005935	NP_986374	S0000181		
1774258_at	YBL084C.S1	IPR001440	1774258_at			GO:0005680	EAK98906	S0000180		
1772654_at	YBL082C.S1	IPR007873	1772654_at			GO:0005783	NP_986368	S0000178		
1777016_at	YBL081W.S1		1777016_at				NP_009472	S0000177		
1776667_at	YBL080C.S1	IPR006107	1776667_at			GO:0005739	EAK99591	S0000176		
1772463_at	YBL079W.S1	IPR004870	1772463_at			GO:0006611	NP_009474	S0000175		
1772778_at	YBL078C.S1	IPR004241	1772778_at			GO:0006623	XP_390916	S0000174		
1779139_at	YBL076C.S1	IPR002300	1779139_at			GO:0005829	AAA34712	S0000172		
1779158_at	YBL075C.S1	IPR001023	1779158_at			GO:0006616	NP_009478	S0000171		
1779289_at	YBL074C.S1	IPR007946	1779289_at			GO:0005682	CAB89180	S0000170		
1772857_at	YBL072C.S1		1772857_at							
1770449_s_at	YBL072C.S1	IPR001047	1770449_s_at			GO:0006412	EAK93633	S0000904		
1776611_at	YBL071C-B.S1		1776611_at				NP_878044	S0028597		
1777293_at	YBL071W-A.S1	IPR007872	1777293_at			GO:0005737	EAA63886	S0007587		
1777495_at	YBL069W.S1	IPR002085	1777495_at			GO:0019898	NP_987039	S0000165		
1770750_at	YBL068W.S1	IPR000836	1770750_at			GO:0005737	NP_987037	S0000164		
1771568_at	YBL067C.S1	IPR001394	1771568_at			GO:0004843	NP_987036	S0000163		
1774015_at	YBL066C.S1	IPR007219	1774015_at				NP_987035	S0000162		
1775303_at	YBL064C.S1	IPR000866	1775303_at			GO:0005739	EAA59444	S0000160		
1773899_at	YBL063W.S1	IPR001752	1773899_at			GO:0005200	EAA63331	S0000159		
1779200_at	YBL061C.S1		1779200_at	a.139.1.Type I dockerin domain		GO:0006038	EAK97595	S0000157		
1773195_at	YBL060W.S1	IPR000904	1773195_at			GO:0005737	NP_009493	S0000156		
1776925_at	YBL059C-A.S1	IPR010625	1776925_at			GO:0005737	NP_983165	S0007488		
1777024_at	YBL059W.S1		1777024_at			GO:0005739	NP_983164	S0000155		
1778681_at	YBL058W.S1	IPR001012	1778681_at			GO:0005737	EAK99385	S0000154		
1779830_at	YBL057C.S1	IPR002833	1779830_at			GO:0005739	EAK99280	S0000153		
1774521_at	YBL056W.S1	IPR001932	1774521_at			GO:0005737	NP_983641	S0000152		
1775764_at	YBL055C.S1	IPR001130	1775764_at			GO:0005737	NP_595590	S0000151		
1777761_at	YBL054W.S1	IPR001005	1777761_at	a.4.1.Myb		GO:0005737	NP_983639	S0000150		
1775222_at	YBL052C.S1	IPR002717	1775222_at			GO:0000788	EAK99276	S0000148		
1771993_at	YBL051C.S1	IPR000504	1771993_at			GO:0005737	EAK99270	S0000147		
1770916_at	YBL050W.S1	IPR000744	1770916_at			GO:0000300	EAK99254	S0000146		
1771375_at	YBL049W.S1	IPR004910	1771375_at				EAA56292	S0000145		
1777838_at	YBL047C.S1	IPR000449	1777838_at			GO:0005935	EAK93907	S0000143		
1779278_at	YBL046W.S1		1779278_at			GO:0005634	NP_983094	S0000142		
1775257_at	YBL045C.S1	IPR001431	1775257_at			GO:0008121	NP_983093	S0000141		
1778732_at	YBL044W.S1		1778732_at				NP_009509	S0000140		
1776434_at	YBL043W.S1		1776434_at			GO:0007047	NP_009510	S0000139		
1779256_at	YBL042C.S1	IPR001248	1779256_at			GO:0005886	CAA29986	S0000138		
1773552_at	YBL041W.S1	IPR001353	1773552_at			GO:0004175	NP_594729	S0000137		
1779835_at	YBL040C.S1	IPR000133	1779835_at			GO:0030176	NP_986344	S0000136		
1772328_at	YBL039W-A.S1		1772328_at				NP_878045	S0028517		
1775626_at	YBL039C.S1	IPR000991	1775626_at			GO:0005829	CAA37941	S0000135		
1777341_at	YBL038W.S1	IPR000114	1777341_at			GO:0000048	EAL00585	S0000134		
1772207_at	YBL037W.S1	IPR002553	1772207_at	a.4.1.Tetracyclin repressor-like, N-terminal domain		GO:0016192	EAK92506	S0000133		
1769694_at	YBL036C.S1	IPR001608	1769694_at			GO:0030170	EAK92514	S0000132		
1774459_at	YBL035C.S1	IPR007200	1774459_at			GO:0005658	EAK92516	S0000131		
1772821_at	YBL034C.S1		1772821_at			GO:0005200	EAA50426	S0000130		
1773560_at	YBL033C.S1	IPR000926	1773560_at			GO:0005737	P50139	S0000129		
1776919_at	YBL032W.S1	IPR004087	1776919_at			GO:0003729	EAL00415	S0000128		
1769602_at	YBL031W.S1		1769602_at			GO:0015630	NP_009522	S0000127		
1777840_at	YBL030C.S1	IPR001993	1777840_at			GO:0005471	AAO32512	S0000126		
1776351_at	YBL029C-A.S1		1776351_at				NP_985039	S0007591		
1777284_at	YBL029W.S1		1777284_at			GO:0005634	EAL03433	S0000125		
1776524_at	YBL028C.S1		1776524_at			GO:0005730	NP_985037	S0000124		
1770500_at	YBL027W.S1	IPR000196	1770500_at				XP_390050			
1774180_at	YBL026W.S1	IPR001163	1774180_at			GO:0030532	EAK98408	S0000122		
1775334_at	YBL025W.S1	IPR007898	1775334_at			GO:0000500	NP_985727	S0000121		
1772892_at	YBL024W.S1	IPR001678	1772892_at			GO:0005634	NP_009529	S0000120		
1776843_at	YBL023C.S1	IPR001208	1776843_at			GO:0006270	CAA37615	S0000119		
1776390_at	YBL022C.S1	IPR003959	1776390_at				NP_009531			
1778399_at	YBL021C.S1	IPR003958	1778399_at			GO:0016602	NP_985561	S0000117		
1773593_at	YBL020W.S1	IPR007594	1773593_at			GO:0005789	P40913	S0000116		
1774426_at	YBL019W.S1	IPR010666	1774426_at			GO:0008311	EAK91472	S0000115		
1769637_at	YBL018C.S1		1769637_at			GO:0005655	NP_985564	S0000114		
1770026_at	YBL017C.S1	IPR002860	1770026_at			GO:0005048	NP_009536	S0000113		
1772084_at	YBL016W.S1	IPR000719	1772084_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005937	BAD06585.1	S0000112	3.1.7	
1773273_at	YBL015W.S1	IPR003702	1773273_at				EAK95537			
1772164_at	YBL014C.S1		1772164_at			GO:0000120	NP_009539	S0000110		
1772883_at	YBL013W.S1	IPR002376	1772883_at			GO:0005739	EAK92638	S0000109		
1775436_at	YBL011W.S1	IPR002123	1775436_at			GO:0005783	EAK90780	S0000107		
1775170_at	YBL010C.S1		1775170_at			GO:0030136	NP_009543	S0000106		
1773826_at	YBL009W.S1		1773826_at			GO:0007126	NP_986039	S0000105	1.2.13	
1772751_at	YBL008W-A.S1		1772751_at				NP_878046	S0028529		
1775422_at	YBL008W.S1	IPR001680	1775422_at	a.4.1.Homeodomain		GO:0005634	EAL00665	S0000104		
1773589_at	YBL007C.S1	IPR001452	1773589_at			GO:0008092	EAL03630	S0000103		
1773721_at	YBL006C.S1		1773721_at			GO:0000032	P38210	S0000102		
1779706_at	YBL005W.S1	IPR007219	1779706_at			GO:0005634	NP_011111	S0000101		
1778825_s_at	YDR316W-B.S1	IPR001584	1778825_s_at	a.2.3.Chaperone J-domain		GO:0005515	NP_012086	S0003534		
1773104_s_at	YBL005W-A.S1	IPR001042	1773104_s_at			GO:0000943	NP_009550	S0004649		
1776909_at	YBL004W.S1		1776909_at			GO:0005737	NP_984855	S0000100		
1775235_at	YBL003C.S1		1775235_at							
1777647_s_at	YBL003C.S1	IPR007125	1777647_s_at			GO:0006333	CAA75581	S0002633		
1777846_at	YBL002W.S1	IPR007125	1777846_at			GO:0003677	XP_331211	S0000098		
1771828_at	YBL001C.S1	IPR002767	1771828_at			GO:0005634	XP_326056	S0000097		
1776046_at	YBR001C.S1	IPR001661	1776046_at			GO:0005739	NP_009555	S0000205		
1769697_at	YBR002C.S1	IPR001441	1769697_at			GO:0005783	EAL03158	S0000206		
1773062_at	YBR003W.S1	IPR000092	1773062_at			GO:0000010	EAK99720	S0000207		
1773483_at	YBR004C.S1	IPR007315	1773483_at			GO:0005783	EAK94563	S0000208		
1774121_at	YBR005W.S1		1774121_at			GO:0030176	EAK95422	S0000209		
1775744_at	YBR006W.S1	IPR002086	1775744_at			GO:0005737	NP_984867	S0000210		
1778524_at	YBR007C.S1		1778524_at				NP_984870	S0000211		
1780188_at	YBR008C.S1		1780188_at			GO:0015239	CAA76190	S0000212		
1778426_s_at	YBR009C.S1	IPR007125	1778426_s_at			GO:0003677	XP_225346	S0004975		
1773019_at	YBR010W.S1		1773019_at							
1770065_at	YBR011C.S1	IPR008162	1770065_at			GO:0004427	P13998	S0000215		
1776949_at	YBR013C.S1		1776949_at				NP_009569	S0000217		
1780056_at	YBR014C.S1	IPR002109	1780056_at			GO:0000324	NP_010274	S0000218		
1771577_at	YBR015C.S1		1771577_at			GO:0006486	NP_012349	S0000219		
1771886_at	YBR016W.S1		1771886_at			GO:0009269	NP_009572	S0000220		
1769756_at	YBR017C.S1		1769756_at	a.4.1.Centromere-binding		GO:0005829	EAK95875	S0000221		
1775628_at	YBR018C.S1	IPR005849	1775628_at			GO:0005737	P09580	S0000222		
1772554_at	YBR019C.S1	IPR008183	1772554_at			GO:0003978	NP_009575	S0000223		
1779098_at	YBR020W.S1	IPR006204	1779098_at			GO:0004335	NP_009576	S0000224		
1773649_at	YBR021W.S1	IPR001248	1773649_at			GO:0045121	CAA29986	S0000225		
1770610_at	YBR022W.S1		1770610_at			GO:0016787	XP_384166	S0000226		
1771176_at	YBR023C.S1	IPR004835	1771176_at			GO:0005935	AAA34844	S0000227		
1780206_at	YBR024W.S1	IPR003782	1780206_at			GO:0005740	NP_009593	S0000228		
1778573_at	YBR025C.S1	IPR004396	1778573_at			GO:0005737	EAK94459	S0000229		
1775439_at	YBR026C.S1	IPR002085	1775439_at			GO:0009060	NP_984780	S0000230		
1770101_at	YBR028C.S1	IPR000961	1770101_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	NP_587830	S0000232	1.5.3	
1776825_at	YBR029C.S1	IPR000374	1776825_at			GO:0005739	EAK91403	S0000233		
1779625_at	YBR030W.S1	IPR001214	1779625_at			GO:0006644	EAK95985	S0000234		
1778730_s_at	YBR031W.S1	IPR002136	1778730_s_at			GO:0003735	EAK95979	S0002419		
1772852_at	YBR033W.S1	IPR001138	1772852_at				NP_012886	S0000237		
1777567_at	YBR034C.S1		1777567_at			GO:0005634	EAK99182	S0000238		
1777391_at	YBR035C.S1	IPR000659	1777391_at			GO:0004733	AAC28862	S0000239		
1774605_at	YBR036C.S1		1774605_at				NP_009592			
1773332_at	YBR037C.S1	IPR003782	1773332_at			GO:0005743	NP_009580	S0000241		
1778194_at	YBR038W.S1	IPR004834	1778194_at			GO:0005935	NP_009594	S0000242		
1775960_at	YBR039W.S1	IPR000131	1775960_at			GO:0015986	P49377	S0000243		
1772126_at	YBR040W.S1		1772126_at			GO:0009277	NP_983229	S0000244		
1780077_at	YBR041W.S1	IPR000873	1780077_at		(Q9NUB1) Acetyl-coenzyme A synthetase 2-like, mitochondrial precursor (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2)	GO:0005811	EAK92094	S0000245		
1775394_at	YBR042C.S1	IPR002123	1775394_at			GO:0008654	NP_010301	S0000246		
1779479_at	YBR043C.S1		1779479_at			GO:0005887	NP_983232	S0000247		
1779810_at	YBR044C.S1		1779810_at			GO:0005743	NP_985261	S0000248		
1777808_at	YBR045C.S1		1777808_at			GO:0008157	NP_009601	S0000249		
1780070_at	YBR046C.S1	IPR002085	1780070_at			GO:0005634	NP_982857	S0000250		
1777707_at	YBR047W.S1		1777707_at			GO:0005739	NP_009603	S0000251		
1772208_at	YBR048W.S1		1772208_at							
1779218_s_at	YBR048W.S1	IPR000266	1779218_s_at			GO:0005843	EAA62403	S0002432		
1773484_at	YBR049C.S1	IPR001005	1773484_at	a.4.1.Myb		GO:0003716	NP_982855	S0000253		
1779568_at	YBR050C.S1		1779568_at	a.1.2.Dihydropyrimidine dehydrogenase, N-terminal domain		GO:0000122	NP_009606	S0000254		
